PLANNING AREA,SUBZONE,Age,Sex,Population
BOON LAY,TUKANG,55,Males,-
BOON LAY,TUKANG,55,Females,-
BOON LAY,TUKANG,56,Total,-
BOON LAY,TUKANG,56,Males,-
BOON LAY,TUKANG,56,Females,-
BOON LAY,TUKANG,57,Total,-
BOON LAY,TUKANG,57,Males,-
BOON LAY,TUKANG,57,Females,-
BOON LAY,TUKANG,58,Total,-
BOON LAY,TUKANG,58,Males,-
BOON LAY,TUKANG,58,Females,-
BOON LAY,TUKANG,59,Total,-
BOON LAY,TUKANG,59,Males,-
BOON LAY,TUKANG,59,Females,-
BOON LAY,TUKANG,60,Total,-
BOON LAY,TUKANG,60,Males,-
BOON LAY,TUKANG,60,Females,-
BOON LAY,TUKANG,61,Total,-
BOON LAY,TUKANG,61,Males,-
BOON LAY,TUKANG,61,Females,-
BOON LAY,TUKANG,62,Total,-
BOON LAY,TUKANG,62,Males,-
BOON LAY,TUKANG,62,Females,-
BOON LAY,TUKANG,63,Total,-
BOON LAY,TUKANG,63,Males,-
BOON LAY,TUKANG,63,Females,-
BOON LAY,TUKANG,64,Total,-
BOON LAY,TUKANG,64,Males,-
BOON LAY,TUKANG,64,Females,-
BOON LAY,TUKANG,65,Total,-
BOON LAY,TUKANG,65,Males,-
BOON LAY,TUKANG,65,Females,-
BOON LAY,TUKANG,66,Total,-
BOON LAY,TUKANG,66,Males,-
BOON LAY,TUKANG,66,Females,-
BOON LAY,TUKANG,67,Total,-
BOON LAY,TUKANG,67,Males,-
BOON LAY,TUKANG,67,Females,-
BOON LAY,TUKANG,68,Total,-
BOON LAY,TUKANG,68,Males,-
BOON LAY,TUKANG,68,Females,-
BOON LAY,TUKANG,69,Total,-
BOON LAY,TUKANG,69,Males,-
BOON LAY,TUKANG,69,Females,-
BOON LAY,TUKANG,70,Total,-
BOON LAY,TUKANG,70,Males,-
BOON LAY,TUKANG,70,Females,-
BOON LAY,TUKANG,71,Total,-
BOON LAY,TUKANG,71,Males,-
BOON LAY,TUKANG,71,Females,-
BOON LAY,TUKANG,72,Total,-
BOON LAY,TUKANG,72,Males,-
BOON LAY,TUKANG,72,Females,-
BOON LAY,TUKANG,73,Total,-
BOON LAY,TUKANG,73,Males,-
BOON LAY,TUKANG,73,Females,-
BOON LAY,TUKANG,74,Total,-
BOON LAY,TUKANG,74,Males,-
BOON LAY,TUKANG,74,Females,-
BOON LAY,TUKANG,75,Total,-
BOON LAY,TUKANG,75,Males,-
BOON LAY,TUKANG,75,Females,-
BOON LAY,TUKANG,76,Total,-
BOON LAY,TUKANG,76,Males,-
BOON LAY,TUKANG,76,Females,-
BOON LAY,TUKANG,77,Total,-
BOON LAY,TUKANG,77,Males,-
BOON LAY,TUKANG,77,Females,-
BOON LAY,TUKANG,78,Total,-
BOON LAY,TUKANG,78,Males,-
BOON LAY,TUKANG,78,Females,-
BOON LAY,TUKANG,79,Total,-
BOON LAY,TUKANG,79,Males,-
BOON LAY,TUKANG,79,Females,-
BOON LAY,TUKANG,80,Total,-
BOON LAY,TUKANG,80,Males,-
BOON LAY,TUKANG,80,Females,-
BOON LAY,TUKANG,81,Total,-
BOON LAY,TUKANG,81,Males,-
BOON LAY,TUKANG,81,Females,-
BOON LAY,TUKANG,82,Total,-
BOON LAY,TUKANG,82,Males,-
BOON LAY,TUKANG,82,Females,-
BOON LAY,TUKANG,83,Total,-
BOON LAY,TUKANG,83,Males,-
BOON LAY,TUKANG,83,Females,-
BOON LAY,TUKANG,84,Total,-
BOON LAY,TUKANG,84,Males,-
BOON LAY,TUKANG,84,Females,-
BOON LAY,TUKANG,85,Total,-
BOON LAY,TUKANG,85,Males,-
BOON LAY,TUKANG,85,Females,-
BOON LAY,TUKANG,86,Total,-
BOON LAY,TUKANG,86,Males,-
BOON LAY,TUKANG,86,Females,-
BOON LAY,TUKANG,87,Total,-
BOON LAY,TUKANG,87,Males,-
BOON LAY,TUKANG,87,Females,-
BOON LAY,TUKANG,88,Total,-
BOON LAY,TUKANG,88,Males,-
BOON LAY,TUKANG,88,Females,-
BOON LAY,TUKANG,89,Total,-
BOON LAY,TUKANG,89,Males,-
BOON LAY,TUKANG,89,Females,-
BOON LAY,TUKANG,90 & Over,Total,-
BOON LAY,TUKANG,90 & Over,Males,-
BOON LAY,TUKANG,90 & Over,Females,-
BUKIT BATOK,TOTAL,Total,Total,167750 
BUKIT BATOK,TOTAL,Total,Males,81980 
BUKIT BATOK,TOTAL,Total,Females,85780 
BUKIT BATOK,TOTAL,0 ,Total,1370 
BUKIT BATOK,TOTAL,0 ,Males,710 
BUKIT BATOK,TOTAL,0 ,Females,660 
BUKIT BATOK,TOTAL,1 ,Total,1430 
BUKIT BATOK,TOTAL,1 ,Males,740 
BUKIT BATOK,TOTAL,1 ,Females,690 
BUKIT BATOK,TOTAL,2 ,Total,1680 
BUKIT BATOK,TOTAL,2 ,Males,880 
BUKIT BATOK,TOTAL,2 ,Females,800 
BUKIT BATOK,TOTAL,3 ,Total,1650 
BUKIT BATOK,TOTAL,3 ,Males,850 
BUKIT BATOK,TOTAL,3 ,Females,810 
BUKIT BATOK,TOTAL,4 ,Total,1850 
BUKIT BATOK,TOTAL,4 ,Males,1000 
BUKIT BATOK,TOTAL,4 ,Females,850 
BUKIT BATOK,TOTAL,5 ,Total,1740 
BUKIT BATOK,TOTAL,5 ,Males,890 
BUKIT BATOK,TOTAL,5 ,Females,840 
BUKIT BATOK,TOTAL,6 ,Total,1730 
BUKIT BATOK,TOTAL,6 ,Males,870 
BUKIT BATOK,TOTAL,6 ,Females,860 
BUKIT BATOK,TOTAL,7 ,Total,1640 
BUKIT BATOK,TOTAL,7 ,Males,860 
BUKIT BATOK,TOTAL,7 ,Females,780 
BUKIT BATOK,TOTAL,8 ,Total,1550 
BUKIT BATOK,TOTAL,8 ,Males,790 
BUKIT BATOK,TOTAL,8 ,Females,760 
BUKIT BATOK,TOTAL,9 ,Total,1600 
BUKIT BATOK,TOTAL,9 ,Males,830 
BUKIT BATOK,TOTAL,9 ,Females,780 
BUKIT BATOK,TOTAL,10 ,Total,1510 
BUKIT BATOK,TOTAL,10 ,Males,770 
BUKIT BATOK,TOTAL,10 ,Females,750 
BUKIT BATOK,TOTAL,11 ,Total,1560 
BUKIT BATOK,TOTAL,11 ,Males,810 
BUKIT BATOK,TOTAL,11 ,Females,750 
BUKIT BATOK,TOTAL,12 ,Total,1500 
BUKIT BATOK,TOTAL,12 ,Males,740 
BUKIT BATOK,TOTAL,12 ,Females,760 
BUKIT BATOK,TOTAL,13 ,Total,1450 
BUKIT BATOK,TOTAL,13 ,Males,740 
BUKIT BATOK,TOTAL,13 ,Females,710 
BUKIT BATOK,TOTAL,14 ,Total,1610 
BUKIT BATOK,TOTAL,14 ,Males,790 
BUKIT BATOK,TOTAL,14 ,Females,820 
BUKIT BATOK,TOTAL,15 ,Total,1580 
BUKIT BATOK,TOTAL,15 ,Males,820 
BUKIT BATOK,TOTAL,15 ,Females,760 
BUKIT BATOK,TOTAL,16 ,Total,1680 
BUKIT BATOK,TOTAL,16 ,Males,810 
BUKIT BATOK,TOTAL,16 ,Females,870 
BUKIT BATOK,TOTAL,17 ,Total,1650 
BUKIT BATOK,TOTAL,17 ,Males,850 
BUKIT BATOK,TOTAL,17 ,Females,800 
BUKIT BATOK,TOTAL,18 ,Total,1690 
BUKIT BATOK,TOTAL,18 ,Males,870 
BUKIT BATOK,TOTAL,18 ,Females,820 
BUKIT BATOK,TOTAL,19 ,Total,1720 
BUKIT BATOK,TOTAL,19 ,Males,860 
BUKIT BATOK,TOTAL,19 ,Females,860 
BUKIT BATOK,TOTAL,20 ,Total,1690 
BUKIT BATOK,TOTAL,20 ,Males,860 
BUKIT BATOK,TOTAL,20 ,Females,830 
BUKIT BATOK,TOTAL,21 ,Total,1720 
BUKIT BATOK,TOTAL,21 ,Males,850 
BUKIT BATOK,TOTAL,21 ,Females,870 
BUKIT BATOK,TOTAL,22 ,Total,1820 
BUKIT BATOK,TOTAL,22 ,Males,940 
BUKIT BATOK,TOTAL,22 ,Females,880 
BUKIT BATOK,TOTAL,23 ,Total,2000 
BUKIT BATOK,TOTAL,23 ,Males,1010 
BUKIT BATOK,TOTAL,23 ,Females,990 
BUKIT BATOK,TOTAL,24 ,Total,2050 
BUKIT BATOK,TOTAL,24 ,Males,1050 
BUKIT BATOK,TOTAL,24 ,Females,990 
BUKIT BATOK,TOTAL,25 ,Total,1890 
BUKIT BATOK,TOTAL,25 ,Males,960 
BUKIT BATOK,TOTAL,25 ,Females,930 
BUKIT BATOK,TOTAL,26 ,Total,2110 
BUKIT BATOK,TOTAL,26 ,Males,1060 
BUKIT BATOK,TOTAL,26 ,Females,1050 
BUKIT BATOK,TOTAL,27 ,Total,2100 
BUKIT BATOK,TOTAL,27 ,Males,1050 
BUKIT BATOK,TOTAL,27 ,Females,1050 
BUKIT BATOK,TOTAL,28 ,Total,2220 
BUKIT BATOK,TOTAL,28 ,Males,1060 
BUKIT BATOK,TOTAL,28 ,Females,1160 
BUKIT BATOK,TOTAL,29 ,Total,2330 
BUKIT BATOK,TOTAL,29 ,Males,1130 
BUKIT BATOK,TOTAL,29 ,Females,1200 
BUKIT BATOK,TOTAL,30 ,Total,2520 
BUKIT BATOK,TOTAL,30 ,Males,1210 
BUKIT BATOK,TOTAL,30 ,Females,1310 
BUKIT BATOK,TOTAL,31 ,Total,2520 
BUKIT BATOK,TOTAL,31 ,Males,1180 
BUKIT BATOK,TOTAL,31 ,Females,1330 
BUKIT BATOK,TOTAL,32 ,Total,2660 
BUKIT BATOK,TOTAL,32 ,Males,1230 
BUKIT BATOK,TOTAL,32 ,Females,1430 
BUKIT BATOK,TOTAL,33 ,Total,3020 
BUKIT BATOK,TOTAL,33 ,Males,1380 
BUKIT BATOK,TOTAL,33 ,Females,1640 
BUKIT BATOK,TOTAL,34 ,Total,2960 
BUKIT BATOK,TOTAL,34 ,Males,1450 
BUKIT BATOK,TOTAL,34 ,Females,1500 
BUKIT BATOK,TOTAL,35 ,Total,3210 
BUKIT BATOK,TOTAL,35 ,Males,1530 
BUKIT BATOK,TOTAL,35 ,Females,1680 
BUKIT BATOK,TOTAL,36 ,Total,2990 
BUKIT BATOK,TOTAL,36 ,Males,1480 
BUKIT BATOK,TOTAL,36 ,Females,1510 
BUKIT BATOK,TOTAL,37 ,Total,2480 
BUKIT BATOK,TOTAL,37 ,Males,1200 
BUKIT BATOK,TOTAL,37 ,Females,1280 
BUKIT BATOK,TOTAL,38 ,Total,2430 
BUKIT BATOK,TOTAL,38 ,Males,1160 
BUKIT BATOK,TOTAL,38 ,Females,1270 
BUKIT BATOK,TOTAL,39 ,Total,2530 
BUKIT BATOK,TOTAL,39 ,Males,1240 
BUKIT BATOK,TOTAL,39 ,Females,1290 
BUKIT BATOK,TOTAL,40 ,Total,2190 
BUKIT BATOK,TOTAL,40 ,Males,1030 
BUKIT BATOK,TOTAL,40 ,Females,1160 
BUKIT BATOK,TOTAL,41 ,Total,2300 
BUKIT BATOK,TOTAL,41 ,Males,1070 
BUKIT BATOK,TOTAL,41 ,Females,1240 
BUKIT BATOK,TOTAL,42 ,Total,2380 
BUKIT BATOK,TOTAL,42 ,Males,1110 
BUKIT BATOK,TOTAL,42 ,Females,1270 
BUKIT BATOK,TOTAL,43 ,Total,2300 
BUKIT BATOK,TOTAL,43 ,Males,1070 
BUKIT BATOK,TOTAL,43 ,Females,1230 
BUKIT BATOK,TOTAL,44 ,Total,2260 
BUKIT BATOK,TOTAL,44 ,Males,1080 
BUKIT BATOK,TOTAL,44 ,Females,1180 
BUKIT BATOK,TOTAL,45 ,Total,2200 
BUKIT BATOK,TOTAL,45 ,Males,1030 
BUKIT BATOK,TOTAL,45 ,Females,1160 
BUKIT BATOK,TOTAL,46 ,Total,2170 
BUKIT BATOK,TOTAL,46 ,Males,1020 
BUKIT BATOK,TOTAL,46 ,Females,1140 
BUKIT BATOK,TOTAL,47 ,Total,2360 
BUKIT BATOK,TOTAL,47 ,Males,1120 
BUKIT BATOK,TOTAL,47 ,Females,1240 
BUKIT BATOK,TOTAL,48 ,Total,2260 
BUKIT BATOK,TOTAL,48 ,Males,1070 
BUKIT BATOK,TOTAL,48 ,Females,1200 
BUKIT BATOK,TOTAL,49 ,Total,2370 
BUKIT BATOK,TOTAL,49 ,Males,1120 
BUKIT BATOK,TOTAL,49 ,Females,1260 
BUKIT BATOK,TOTAL,50 ,Total,2420 
BUKIT BATOK,TOTAL,50 ,Males,1140 
BUKIT BATOK,TOTAL,50 ,Females,1280 
BUKIT BATOK,TOTAL,51 ,Total,2530 
BUKIT BATOK,TOTAL,51 ,Males,1270 
BUKIT BATOK,TOTAL,51 ,Females,1260 
BUKIT BATOK,TOTAL,52 ,Total,2410 
BUKIT BATOK,TOTAL,52 ,Males,1170 
BUKIT BATOK,TOTAL,52 ,Females,1240 
BUKIT BATOK,TOTAL,53 ,Total,2400 
BUKIT BATOK,TOTAL,53 ,Males,1160 
BUKIT BATOK,TOTAL,53 ,Females,1240 
BUKIT BATOK,TOTAL,54 ,Total,2380 
BUKIT BATOK,TOTAL,54 ,Males,1140 
BUKIT BATOK,TOTAL,54 ,Females,1240 
BUKIT BATOK,TOTAL,55 ,Total,2320 
BUKIT BATOK,TOTAL,55 ,Males,1130 
BUKIT BATOK,TOTAL,55 ,Females,1190 
BUKIT BATOK,TOTAL,56 ,Total,2480 
BUKIT BATOK,TOTAL,56 ,Males,1210 
BUKIT BATOK,TOTAL,56 ,Females,1270 
BUKIT BATOK,TOTAL,57 ,Total,2420 
BUKIT BATOK,TOTAL,57 ,Males,1220 
BUKIT BATOK,TOTAL,57 ,Females,1200 
BUKIT BATOK,TOTAL,58 ,Total,2500 
BUKIT BATOK,TOTAL,58 ,Males,1250 
BUKIT BATOK,TOTAL,58 ,Females,1250 
BUKIT BATOK,TOTAL,59 ,Total,2490 
BUKIT BATOK,TOTAL,59 ,Males,1290 
BUKIT BATOK,TOTAL,59 ,Females,1200 
BUKIT BATOK,TOTAL,60 ,Total,2490 
BUKIT BATOK,TOTAL,60 ,Males,1240 
BUKIT BATOK,TOTAL,60 ,Females,1250 
BUKIT BATOK,TOTAL,61 ,Total,2560 
BUKIT BATOK,TOTAL,61 ,Males,1280 
BUKIT BATOK,TOTAL,61 ,Females,1290 
BUKIT BATOK,TOTAL,62 ,Total,2420 
BUKIT BATOK,TOTAL,62 ,Males,1190 
BUKIT BATOK,TOTAL,62 ,Females,1230 
BUKIT BATOK,TOTAL,63 ,Total,2510 
BUKIT BATOK,TOTAL,63 ,Males,1190 
BUKIT BATOK,TOTAL,63 ,Females,1320 
BUKIT BATOK,TOTAL,64 ,Total,2410 
BUKIT BATOK,TOTAL,64 ,Males,1190 
BUKIT BATOK,TOTAL,64 ,Females,1220 
BUKIT BATOK,TOTAL,65 ,Total,2400 
BUKIT BATOK,TOTAL,65 ,Males,1140 
BUKIT BATOK,TOTAL,65 ,Females,1250 
BUKIT BATOK,TOTAL,66 ,Total,2370 
BUKIT BATOK,TOTAL,66 ,Males,1160 
BUKIT BATOK,TOTAL,66 ,Females,1200 
BUKIT BATOK,TOTAL,67 ,Total,2270 
BUKIT BATOK,TOTAL,67 ,Males,1130 
BUKIT BATOK,TOTAL,67 ,Females,1140 
BUKIT BATOK,TOTAL,68 ,Total,2170 
BUKIT BATOK,TOTAL,68 ,Males,1110 
BUKIT BATOK,TOTAL,68 ,Females,1050 
BUKIT BATOK,TOTAL,69 ,Total,2170 
BUKIT BATOK,TOTAL,69 ,Males,1070 
BUKIT BATOK,TOTAL,69 ,Females,1100 
BUKIT BATOK,TOTAL,70 ,Total,1950 
BUKIT BATOK,TOTAL,70 ,Males,960 
BUKIT BATOK,TOTAL,70 ,Females,990 
BUKIT BATOK,TOTAL,71 ,Total,1750 
BUKIT BATOK,TOTAL,71 ,Males,860 
BUKIT BATOK,TOTAL,71 ,Females,890 
BUKIT BATOK,TOTAL,72 ,Total,1650 
BUKIT BATOK,TOTAL,72 ,Males,800 
BUKIT BATOK,TOTAL,72 ,Females,850 
BUKIT BATOK,TOTAL,73 ,Total,1480 
BUKIT BATOK,TOTAL,73 ,Males,750 
BUKIT BATOK,TOTAL,73 ,Females,730 
BUKIT BATOK,TOTAL,74 ,Total,1350 
BUKIT BATOK,TOTAL,74 ,Males,640 
BUKIT BATOK,TOTAL,74 ,Females,710 
BUKIT BATOK,TOTAL,75 ,Total,1290 
BUKIT BATOK,TOTAL,75 ,Males,610 
BUKIT BATOK,TOTAL,75 ,Females,680 
BUKIT BATOK,TOTAL,76 ,Total,1170 
BUKIT BATOK,TOTAL,76 ,Males,570 
BUKIT BATOK,TOTAL,76 ,Females,600 
BUKIT BATOK,TOTAL,77 ,Total,1040 
BUKIT BATOK,TOTAL,77 ,Males,520 
BUKIT BATOK,TOTAL,77 ,Females,520 
BUKIT BATOK,TOTAL,78 ,Total,690 
BUKIT BATOK,TOTAL,78 ,Males,320 
BUKIT BATOK,TOTAL,78 ,Females,370 
BUKIT BATOK,TOTAL,79 ,Total,510 
BUKIT BATOK,TOTAL,79 ,Males,200 
BUKIT BATOK,TOTAL,79 ,Females,310 
BUKIT BATOK,TOTAL,80 ,Total,590 
BUKIT BATOK,TOTAL,80 ,Males,260 
BUKIT BATOK,TOTAL,80 ,Females,340 
BUKIT BATOK,TOTAL,81 ,Total,510 
BUKIT BATOK,TOTAL,81 ,Males,240 
BUKIT BATOK,TOTAL,81 ,Females,270 
BUKIT BATOK,TOTAL,82 ,Total,410 
BUKIT BATOK,TOTAL,82 ,Males,190 
BUKIT BATOK,TOTAL,82 ,Females,230 
BUKIT BATOK,TOTAL,83 ,Total,510 
BUKIT BATOK,TOTAL,83 ,Males,230 
BUKIT BATOK,TOTAL,83 ,Females,270 
BUKIT BATOK,TOTAL,84 ,Total,430 
BUKIT BATOK,TOTAL,84 ,Males,190 
BUKIT BATOK,TOTAL,84 ,Females,250 
BUKIT BATOK,TOTAL,85 ,Total,450 
BUKIT BATOK,TOTAL,85 ,Males,200 
BUKIT BATOK,TOTAL,85 ,Females,250 
BUKIT BATOK,TOTAL,86 ,Total,280 
BUKIT BATOK,TOTAL,86 ,Males,110 
BUKIT BATOK,TOTAL,86 ,Females,170 
BUKIT BATOK,TOTAL,87 ,Total,190 
BUKIT BATOK,TOTAL,87 ,Males,80 
BUKIT BATOK,TOTAL,87 ,Females,110 
BUKIT BATOK,TOTAL,88 ,Total,200 
BUKIT BATOK,TOTAL,88 ,Males,70 
BUKIT BATOK,TOTAL,88 ,Females,130 
BUKIT BATOK,TOTAL,89 ,Total,230 
BUKIT BATOK,TOTAL,89 ,Males,80 
BUKIT BATOK,TOTAL,89 ,Females,140 
BUKIT BATOK,TOTAL,90 & Over,Total,780 
BUKIT BATOK,TOTAL,90 & Over,Males,250 
BUKIT BATOK,TOTAL,90 & Over,Females,530 
BUKIT BATOK,BRICKWORKS,Total,Total,"31,090"
BUKIT BATOK,BRICKWORKS,Total,Males,"15,370"
BUKIT BATOK,BRICKWORKS,Total,Females,"15,720"
BUKIT BATOK,BRICKWORKS,0,Total,610
BUKIT BATOK,BRICKWORKS,0,Males,320
BUKIT BATOK,BRICKWORKS,0,Females,290
BUKIT BATOK,BRICKWORKS,1,Total,630
BUKIT BATOK,BRICKWORKS,1,Males,320
BUKIT BATOK,BRICKWORKS,1,Females,310
BUKIT BATOK,BRICKWORKS,2,Total,780
BUKIT BATOK,BRICKWORKS,2,Males,390
BUKIT BATOK,BRICKWORKS,2,Females,390
BUKIT BATOK,BRICKWORKS,3,Total,780
BUKIT BATOK,BRICKWORKS,3,Males,390
BUKIT BATOK,BRICKWORKS,3,Females,390
BUKIT BATOK,BRICKWORKS,4,Total,830
BUKIT BATOK,BRICKWORKS,4,Males,440
BUKIT BATOK,BRICKWORKS,4,Females,390
BUKIT BATOK,BRICKWORKS,5,Total,740
BUKIT BATOK,BRICKWORKS,5,Males,370
BUKIT BATOK,BRICKWORKS,5,Females,360
BUKIT BATOK,BRICKWORKS,6,Total,640
BUKIT BATOK,BRICKWORKS,6,Males,320
BUKIT BATOK,BRICKWORKS,6,Females,310
BUKIT BATOK,BRICKWORKS,7,Total,540
BUKIT BATOK,BRICKWORKS,7,Males,290
BUKIT BATOK,BRICKWORKS,7,Females,260
BUKIT BATOK,BRICKWORKS,8,Total,430
BUKIT BATOK,BRICKWORKS,8,Males,220
BUKIT BATOK,BRICKWORKS,8,Females,210
BUKIT BATOK,BRICKWORKS,9,Total,400
BUKIT BATOK,BRICKWORKS,9,Males,210
BUKIT BATOK,BRICKWORKS,9,Females,190
BUKIT BATOK,BRICKWORKS,10,Total,350
BUKIT BATOK,BRICKWORKS,10,Males,170
BUKIT BATOK,BRICKWORKS,10,Females,180
BUKIT BATOK,BRICKWORKS,11,Total,340
BUKIT BATOK,BRICKWORKS,11,Males,180
BUKIT BATOK,BRICKWORKS,11,Females,160
BUKIT BATOK,BRICKWORKS,12,Total,270
BUKIT BATOK,BRICKWORKS,12,Males,130
BUKIT BATOK,BRICKWORKS,12,Females,140
BUKIT BATOK,BRICKWORKS,13,Total,250
BUKIT BATOK,BRICKWORKS,13,Males,130
BUKIT BATOK,BRICKWORKS,13,Females,120
BUKIT BATOK,BRICKWORKS,14,Total,260
BUKIT BATOK,BRICKWORKS,14,Males,130
BUKIT BATOK,BRICKWORKS,14,Females,130
BUKIT BATOK,BRICKWORKS,15,Total,260
BUKIT BATOK,BRICKWORKS,15,Males,140
BUKIT BATOK,BRICKWORKS,15,Females,120
BUKIT BATOK,BRICKWORKS,16,Total,240
BUKIT BATOK,BRICKWORKS,16,Males,100
BUKIT BATOK,BRICKWORKS,16,Females,140
BUKIT BATOK,BRICKWORKS,17,Total,240
BUKIT BATOK,BRICKWORKS,17,Males,130
BUKIT BATOK,BRICKWORKS,17,Females,110
BUKIT BATOK,BRICKWORKS,18,Total,250
BUKIT BATOK,BRICKWORKS,18,Males,130
BUKIT BATOK,BRICKWORKS,18,Females,120
BUKIT BATOK,BRICKWORKS,19,Total,230
BUKIT BATOK,BRICKWORKS,19,Males,110
BUKIT BATOK,BRICKWORKS,19,Females,110
BUKIT BATOK,BRICKWORKS,20,Total,200
BUKIT BATOK,BRICKWORKS,20,Males,110
BUKIT BATOK,BRICKWORKS,20,Females,90
BUKIT BATOK,BRICKWORKS,21,Total,220
BUKIT BATOK,BRICKWORKS,21,Males,110
BUKIT BATOK,BRICKWORKS,21,Females,110
BUKIT BATOK,BRICKWORKS,22,Total,220
BUKIT BATOK,BRICKWORKS,22,Males,120
BUKIT BATOK,BRICKWORKS,22,Females,110
BUKIT BATOK,BRICKWORKS,23,Total,240
BUKIT BATOK,BRICKWORKS,23,Males,130
BUKIT BATOK,BRICKWORKS,23,Females,110
BUKIT BATOK,BRICKWORKS,24,Total,230
BUKIT BATOK,BRICKWORKS,24,Males,100
BUKIT BATOK,BRICKWORKS,24,Females,130
BUKIT BATOK,BRICKWORKS,25,Total,230
BUKIT BATOK,BRICKWORKS,25,Males,110
BUKIT BATOK,BRICKWORKS,25,Females,120
BUKIT BATOK,BRICKWORKS,26,Total,240
BUKIT BATOK,BRICKWORKS,26,Males,120
BUKIT BATOK,BRICKWORKS,26,Females,120
BUKIT BATOK,BRICKWORKS,27,Total,220
BUKIT BATOK,BRICKWORKS,27,Males,90
BUKIT BATOK,BRICKWORKS,27,Females,130
BUKIT BATOK,BRICKWORKS,28,Total,320
BUKIT BATOK,BRICKWORKS,28,Males,110
BUKIT BATOK,BRICKWORKS,28,Females,210
BUKIT BATOK,BRICKWORKS,29,Total,380
BUKIT BATOK,BRICKWORKS,29,Males,140
BUKIT BATOK,BRICKWORKS,29,Females,240
BUKIT BATOK,BRICKWORKS,30,Total,560
BUKIT BATOK,BRICKWORKS,30,Males,210
BUKIT BATOK,BRICKWORKS,30,Females,350
BUKIT BATOK,BRICKWORKS,31,Total,700
BUKIT BATOK,BRICKWORKS,31,Males,270
BUKIT BATOK,BRICKWORKS,31,Females,430
BUKIT BATOK,BRICKWORKS,32,Total,890
BUKIT BATOK,BRICKWORKS,32,Males,370
BUKIT BATOK,BRICKWORKS,32,Females,510
BUKIT BATOK,BRICKWORKS,33,Total,"1,060"
BUKIT BATOK,BRICKWORKS,33,Males,460
BUKIT BATOK,BRICKWORKS,33,Females,600
BUKIT BATOK,BRICKWORKS,34,Total,"1,070"
BUKIT BATOK,BRICKWORKS,34,Males,530
BUKIT BATOK,BRICKWORKS,34,Females,540
BUKIT BATOK,BRICKWORKS,35,Total,"1,080"
BUKIT BATOK,BRICKWORKS,35,Males,540
BUKIT BATOK,BRICKWORKS,35,Females,540
BUKIT BATOK,BRICKWORKS,36,Total,930
BUKIT BATOK,BRICKWORKS,36,Males,490
BUKIT BATOK,BRICKWORKS,36,Females,440
BUKIT BATOK,BRICKWORKS,37,Total,710
BUKIT BATOK,BRICKWORKS,37,Males,400
BUKIT BATOK,BRICKWORKS,37,Females,310
BUKIT BATOK,BRICKWORKS,38,Total,640
BUKIT BATOK,BRICKWORKS,38,Males,320
BUKIT BATOK,BRICKWORKS,38,Females,320
BUKIT BATOK,BRICKWORKS,39,Total,580
BUKIT BATOK,BRICKWORKS,39,Males,290
BUKIT BATOK,BRICKWORKS,39,Females,290
BUKIT BATOK,BRICKWORKS,40,Total,480
BUKIT BATOK,BRICKWORKS,40,Males,250
BUKIT BATOK,BRICKWORKS,40,Females,230
BUKIT BATOK,BRICKWORKS,41,Total,460
BUKIT BATOK,BRICKWORKS,41,Males,220
BUKIT BATOK,BRICKWORKS,41,Females,240
BUKIT BATOK,BRICKWORKS,42,Total,460
BUKIT BATOK,BRICKWORKS,42,Males,230
BUKIT BATOK,BRICKWORKS,42,Females,230
